Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"GPD2","Glycerol-3-Phosphate Dehydrogenase 2","Protein Coding","45","GC02P156401","10.8696928024292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPD2"
"COX7A1","Cytochrome C Oxidase Subunit 7A1","Protein Coding","34","GC19M066552","10.8425493240356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX7A1"
"IMMP1L","Inner Mitochondrial Membrane Peptidase Subunit 1","Protein Coding","36","GC11M031432","10.8266220092773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMMP1L"
"NDUFV3","NADH:Ubiquinone Oxidoreductase Subunit V3","Protein Coding","38","GC21P042879","10.8247566223145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFV3"
"FASTKD3","FAST Kinase Domains 3","Protein Coding","32","GC05M007860","10.818549156189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASTKD3"
"MRPL11","Mitochondrial Ribosomal Protein L11","Protein Coding","37","GC11M089858","10.8045692443848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL11"
"PYURF","PIGY Upstream Open Reading Frame","Protein Coding","26","GC04M088521","10.7996778488159","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYURF"
"SLIRP","SRA Stem-Loop Interacting RNA Binding Protein","Protein Coding","33","GC14P077708","10.7866106033325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLIRP"
"COQ6","Coenzyme Q6, Monooxygenase","Protein Coding","40","GC14P073949","10.7652244567871","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ6"
"NRL","Neural Retina Leucine Zipper","Protein Coding","41","GC14M024078","10.74782371521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRL"
"SLC39A8","Solute Carrier Family 39 Member 8","Protein Coding","42","GC04M102252","10.7367963790894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A8"
"COX18","Cytochrome C Oxidase Assembly Factor COX18","Protein Coding","34","GC04M073054","10.7166271209717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX18"
"MTX2","Metaxin 2","Protein Coding","41","GC02P176269","10.7150077819824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTX2"
"NRF1","Nuclear Respiratory Factor 1","Protein Coding","42","GC07P129611","10.6901636123657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRF1"
"SUCLG2","Succinate-CoA Ligase GDP-Forming Subunit Beta","Protein Coding","40","GC03M067358","10.6852827072144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLG2"
"MRPL53","Mitochondrial Ribosomal Protein L53","Protein Coding","31","GC02M074471","10.6775798797607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPL53"
"TMEM11","Transmembrane Protein 11","Protein Coding","35","GC17M021197","10.6530475616455","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM11"
"MTIF2","Mitochondrial Translational Initiation Factor 2","Protein Coding","39","GC02M055236","10.6442432403564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTIF2"
"POU3F4","POU Class 3 Homeobox 4","Protein Coding","38","GC0XP083508","10.6172389984131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU3F4"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","47","GC01M226360","10.5978116989136","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1"
"PPA2","Inorganic Pyrophosphatase 2","Protein Coding","40","GC04M105369","10.5977392196655","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPA2"
"VARS1","Valyl-TRNA Synthetase 1","Protein Coding","35","GC06M065973","10.5394878387451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VARS1"
"FDX1","Ferredoxin 1","Protein Coding","40","GC11P110429","10.5259761810303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDX1"
"SQOR","Sulfide Quinone Oxidoreductase","Protein Coding","29","GC15P045632","10.5027751922607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQOR"
"COX7A2L","Cytochrome C Oxidase Subunit 7A2 Like","Protein Coding","40","GC02M042312","10.4788961410522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX7A2L"
"MALSU1","Mitochondrial Assembly Of Ribosomal Large Subunit 1","Protein Coding","33","GC07P023299","10.4540147781372","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALSU1"
"MCAT","Malonyl-CoA-Acyl Carrier Protein Transacylase","Protein Coding","40","GC22M043132","10.4481573104858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCAT"
"RPUSD4","RNA Pseudouridine Synthase D4","Protein Coding","35","GC11M126202","10.4326333999634","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPUSD4"
"ACADSB","Acyl-CoA Dehydrogenase Short/Branched Chain","Protein Coding","44","GC10P123008","10.4244546890259","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADSB"
"DMAC2L","Distal Membrane Arm Assembly Component 2 Like","Protein Coding","27","GC14P050312","10.4129056930542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMAC2L"
"ME2","Malic Enzyme 2","Protein Coding","42","GC18P050879","10.3942956924438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ME2"
"COX17","Cytochrome C Oxidase Copper Chaperone COX17","Protein Coding","37","GC03M119654","10.3918399810791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX17"
"NARS1","Asparaginyl-TRNA Synthetase 1","Protein Coding","34","GC18M057601","10.3816261291504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NARS1"
"GLS","Glutaminase","Protein Coding","47","GC02P190880","10.3320770263672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLS"
"SLC25A27","Solute Carrier Family 25 Member 27","Protein Coding","37","GC06P046652","10.3082427978516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A27"
"OTC","Ornithine Transcarbamylase","Protein Coding","45","GC0XP038353","10.3027572631836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTC"
"DBT","Dihydrolipoamide Branched Chain Transacylase E2","Protein Coding","41","GC01M100186","10.2818756103516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBT"
"SLC25A16","Solute Carrier Family 25 Member 16","Protein Coding","37","GC10M068477","10.2750406265259","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A16"
"DMD","Dystrophin","Protein Coding","45","GC0XM031097","10.2544269561768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMD"
"SLC8B1","Solute Carrier Family 8 Member B1","Protein Coding","37","GC12M113298","10.2511043548584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8B1"
"COA1","Cytochrome C Oxidase Assembly Factor 1","Protein Coding","30","GC07M043608","10.2297306060791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COA1"
"RYR1","Ryanodine Receptor 1","Protein Coding","45","GC19P066612","10.2011890411377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1"
"ATP5IF1","ATP Synthase Inhibitory Factor Subunit 1","Protein Coding","29","GC01P028237","10.1091241836548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5IF1"
"MCUR1","Mitochondrial Calcium Uniporter Regulator 1","Protein Coding","34","GC06M013788","10.0940675735474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCUR1"
"GRPEL2","GrpE Like 2, Mitochondrial","Protein Coding","36","GC05P149345","10.0780639648438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRPEL2"
"GJB2","Gap Junction Protein Beta 2","Protein Coding","45","GC13M020187","10.0755882263184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB2"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","51","GC01M011106","10.0683460235596","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","46","GC14M102080","10.0306987762451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"NMTRQ-TTG12-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 12-1","Pseudogene","7","GC17M025762","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG12-1"
"NMTRS-TGA3-1","Nuclear-Encoded Mitochondrial TRNA-Ser (TGA) 3-1","Pseudogene","7","GC17M022528","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRS-TGA3-1"
"NMTRQ-TTG6-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 6-1","Pseudogene","6","GC12M049817","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG6-1"
"NMTRQ-TTG10-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 10-1","Pseudogene","5","GC13M036065","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG10-1"
"NMTRV-TAC1-1","Nuclear-Encoded Mitochondrial TRNA-Val (TAC) 1-1","Pseudogene","5","GC06M156547","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRV-TAC1-1"
"NMTRL-TAA2-1","Nuclear-Encoded Mitochondrial TRNA-Leu (TAA) 2-1","Pseudogene","4","GC02P117023","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRL-TAA2-1"
"NMTRL-TAA3-1","Nuclear-Encoded Mitochondrial TRNA-Leu (TAA) 3-1","Pseudogene","4","GC01M237943","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRL-TAA3-1"
"NMTRL-TAA5-1","Nuclear-Encoded Mitochondrial TRNA-Leu (TAA) 5-1","Pseudogene","4","GC20M057358","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRL-TAA5-1"
"NMTRL-TAA6-1","Nuclear-Encoded Mitochondrial TRNA-Leu (TAA) 6-1","Pseudogene","4","GC08M047129","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRL-TAA6-1"
"NMTRP-TGG1-1","Nuclear-Encoded Mitochondrial TRNA-Pro (TGG) 1-1","Pseudogene","4","GC01P237942","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRP-TGG1-1"
"NMTRQ-CTG1-1","Nuclear-Encoded Mitochondrial TRNA-Gln (CTG) 1-1","Pseudogene","4","GC10M019747","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-CTG1-1"
"NMTRQ-TTG1-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 1-1","Pseudogene","4","GC0XP055180","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG1-1"
"NMTRQ-TTG11-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 11-1","Pseudogene","4","GC08M033015","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG11-1"
"NMTRQ-TTG13-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 13-1","Pseudogene","4","GC07M057186","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG13-1"
"NMTRQ-TTG15-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 15-1","Pseudogene","4","GC04P155462","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG15-1"
"NMTRQ-TTG2-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 2-1","Pseudogene","4","GC07P148569","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG2-1"
"NMTRQ-TTG7-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 7-1","Pseudogene","4","GC02M130272","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG7-1"
"NMTRQ-TTG8-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 8-1","Pseudogene","4","GC0YM008372","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG8-1"
"NMTRQ-TTG9-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 9-1","Pseudogene","4","GC02P131385","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG9-1"
"NMTRS-TGA2-1","Nuclear-Encoded Mitochondrial TRNA-Ser (TGA) 2-1","Pseudogene","4","GC02P131382","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRS-TGA2-1"
"NMTRL-TAA1-1","Nuclear-Encoded Mitochondrial TRNA-Leu (TAA) 1-1","RNA Gene","3","GC04U902348","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRL-TAA1-1"
"NMTRL-TAA4-1","Nuclear-Encoded Mitochondrial TRNA-Leu (TAA) 4-1","RNA Gene","3","GC0XU902180","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRL-TAA4-1"
"NMTRQ-TTG14-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 14-1","RNA Gene","3","GC09U902582","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG14-1"
"NMTRQ-TTG3-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 3-1","RNA Gene","3","GC02U903985","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG3-1"
"NMTRQ-TTG4-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 4-1","Pseudogene","3","GC03M106902","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG4-1"
"NMTRQ-TTG5-1","Nuclear-Encoded Mitochondrial TRNA-Gln (TTG) 5-1","RNA Gene","3","GC16U901982","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRQ-TTG5-1"
"NMTRS-TGA1-1","Nuclear-Encoded Mitochondrial TRNA-Ser (TGA) 1-1","RNA Gene","3","GC02U903615","10.0226964950562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMTRS-TGA1-1"
"TOMM20L","Translocase Of Outer Mitochondrial Membrane 20 Like","Protein Coding","29","GC14P058395","10.0215616226196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM20L"
"CLPP","Caseinolytic Mitochondrial Matrix Peptidase Proteolytic Subunit","Protein Coding","44","GC19P006629","9.99483776092529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPP"
"PLD6","Phospholipase D Family Member 6","Protein Coding","33","GC17M017297","9.96470546722412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD6"
"SLC25A51","Solute Carrier Family 25 Member 51","Protein Coding","33","GC09M037882","9.96413803100586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A51"
"MTFP1","Mitochondrial Fission Process 1","Protein Coding","32","GC22P036857","9.94528198242188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTFP1"
"MTIF3","Mitochondrial Translational Initiation Factor 3","Protein Coding","35","GC13M027436","9.93747520446777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTIF3"
"INS","Insulin","Protein Coding","45","GC11M002159","9.92105484008789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"PTPMT1","Protein Tyrosine Phosphatase Mitochondrial 1","Protein Coding","36","GC11P047568","9.90454483032227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPMT1"
"COX11","Cytochrome C Oxidase Copper Chaperone COX11","Protein Coding","37","GC17M054951","9.88259410858154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX11"
"APOE","Apolipoprotein E","Protein Coding","48","GC19P066879","9.82394790649414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"SLC25A47","Solute Carrier Family 25 Member 47","Protein Coding","34","GC14P100323","9.78481769561768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A47"
"CYP27B1","Cytochrome P450 Family 27 Subfamily B Member 1","Protein Coding","46","GC12M057757","9.7550687789917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27B1"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","45","GC14P061695","9.71806240081787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"HARS2","Histidyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","43","GC05P146277","9.6959867477417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HARS2"
"MAPT","Microtubule Associated Protein Tau","Protein Coding","48","GC17P045894","9.68639278411865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT"
"DNAH8","Dynein Axonemal Heavy Chain 8","Protein Coding","37","GC06P083874","9.68149852752686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH8"
"SMDT1","Single-Pass Membrane Protein With Aspartate Rich Tail 1","Protein Coding","30","GC22P042079","9.67702865600586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMDT1"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","48","GC09M021967","9.66696166992188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"CHCHD6","Coiled-Coil-Helix-Coiled-Coil-Helix Domain Containing 6","Protein Coding","34","GC03P126704","9.6444091796875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHCHD6"
"MPV17L2","MPV17 Mitochondrial Inner Membrane Protein Like 2","Protein Coding","33","GC19P018193","9.63419151306152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPV17L2"
"MTFR1","Mitochondrial Fission Regulator 1","Protein Coding","36","GC08P065643","9.61193370819092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTFR1"
"MYH7","Myosin Heavy Chain 7","Protein Coding","46","GC14M023412","9.60621356964111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH7"
"SIRT5","Sirtuin 5","Protein Coding","44","GC06P013574","9.59592151641846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT5"
"CYP11A1","Cytochrome P450 Family 11 Subfamily A Member 1","Protein Coding","46","GC15M074337","9.58504295349121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP11A1"
"COQ3","Coenzyme Q3, Methyltransferase","Protein Coding","38","GC06M099369","9.58462524414063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ3"
"LBHD1","LBH Domain Containing 1","Protein Coding","22","GC11M089632","9.58210182189941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LBHD1"
"BNIP3","BCL2 Interacting Protein 3","Protein Coding","40","GC10M131966","9.58147048950195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3"
"PANK2","Pantothenate Kinase 2","Protein Coding","42","GC20P004269","9.57018184661865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK2"
"SYNJ2BP-COX16","SYNJ2BP-COX16 Readthrough","Protein Coding","14","GC14M070325","9.56078624725342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNJ2BP-COX16"
"CMC1","C-X9-C Motif Containing 1","Protein Coding","33","GC03P028265","9.54536819458008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMC1"
"VPS13D","Vacuolar Protein Sorting 13 Homolog D","Protein Coding","34","GC01P012236","9.50008296966553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13D"
"SHC1","SHC Adaptor Protein 1","Protein Coding","42","GC01M154962","9.49956893920898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHC1"
"MTERF2","Mitochondrial Transcription Termination Factor 2","Protein Coding","28","GC12M106977","9.49662780761719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTERF2"
"MMUT","Methylmalonyl-CoA Mutase","Protein Coding","34","GC06M049430","9.47359943389893","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMUT"
"TIMM23B","Translocase Of Inner Mitochondrial Membrane 23 Homolog B","Protein Coding","25","GC10P049942","9.4613037109375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM23B"
"PCCA","Propionyl-CoA Carboxylase Subunit Alpha","Protein Coding","45","GC13P100089","9.45809841156006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCCA"
"ROMO1","Reactive Oxygen Species Modulator 1","Protein Coding","33","GC20P035699","9.44146156311035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROMO1"
"DLAT","Dihydrolipoamide S-Acetyltransferase","Protein Coding","44","GC11P112026","9.44106006622314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLAT"
"AUH","AU RNA Binding Methylglutaconyl-CoA Hydratase","Protein Coding","41","GC09M091213","9.39669799804688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AUH"
"XPNPEP3","X-Prolyl Aminopeptidase 3","Protein Coding","41","GC22P040857","9.39498138427734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPNPEP3"
"SLC25A39","Solute Carrier Family 25 Member 39","Protein Coding","38","GC17M044319","9.38459587097168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A39"
"HK1","Hexokinase 1","Protein Coding","48","GC10P069269","9.36330795288086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HK1"
"SQSTM1","Sequestosome 1","Protein Coding","46","GC05P179806","9.35618686676025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQSTM1"
"NDUFB5","NADH:Ubiquinone Oxidoreductase Subunit B5","Protein Coding","34","GC03P179604","9.35503387451172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB5"
"AASS","Aminoadipate-Semialdehyde Synthase","Protein Coding","42","GC07M122073","9.33390998840332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASS"
"OAT","Ornithine Aminotransferase","Protein Coding","46","GC10M124397","9.33047199249268","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAT"
"FTMT","Ferritin Mitochondrial","Protein Coding","37","GC05P121851","9.31997394561768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTMT"
"HIGD1A","HIG1 Hypoxia Inducible Domain Family Member 1A","Protein Coding","37","GC03M042782","9.30098819732666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIGD1A"
"RPS27A","Ribosomal Protein S27a","Protein Coding","41","GC02P055231","9.29790687561035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS27A"
"PISD","Phosphatidylserine Decarboxylase","Protein Coding","45","GC22M057239","9.29237365722656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PISD"
"COQ8B","Coenzyme Q8B","Protein Coding","32","GC19M065779","9.28034591674805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ8B"
"GABPA","GA Binding Protein Transcription Factor Subunit Alpha","Protein Coding","40","GC21P025734","9.22997283935547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABPA"
"GUF1","GTP Binding Elongation Factor GUF1","Protein Coding","37","GC04P044680","9.22750091552734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUF1"
"SLC25A17","Solute Carrier Family 25 Member 17","Protein Coding","38","GC22M057600","9.21348762512207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A17"
"CLPX","Caseinolytic Mitochondrial Matrix Peptidase Chaperone Subunit X","Protein Coding","40","GC15M065148","9.2044620513916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPX"
"RTN4IP1","Reticulon 4 Interacting Protein 1","Protein Coding","39","GC06M106571","9.16577529907227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTN4IP1"
"ABCB6","ATP Binding Cassette Subfamily B Member 6 (Langereis Blood Group)","Protein Coding","45","GC02M219209","9.15985679626465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB6"
"GADD45GIP1","GADD45G Interacting Protein 1","Protein Coding","35","GC19M012953","9.14608001708984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GADD45GIP1"
"METTL8","Methyltransferase 8, Methylcytidine","Protein Coding","30","GC02M171317","9.14303874969482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL8"
"OSGEPL1","O-Sialoglycoprotein Endopeptidase Like 1","Protein Coding","36","GC02M189746","9.12272453308105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSGEPL1"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","50","GC01M042925","9.09769630432129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"CRAT","Carnitine O-Acetyltransferase","Protein Coding","44","GC09M129094","9.0778865814209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRAT"
"UQCR10","Ubiquinol-Cytochrome C Reductase, Complex III Subunit X","Protein Coding","37","GC22P029767","9.07656860351563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCR10"
"ME3","Malic Enzyme 3","Protein Coding","39","GC11M090589","9.06297969818115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ME3"
"MICU3","Mitochondrial Calcium Uptake Family Member 3","Protein Coding","32","GC08P017027","9.03407859802246","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICU3"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","49","GC04P102501","9.03141593933105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"MTERF4","Mitochondrial Transcription Termination Factor 4","Protein Coding","32","GC02M241043","9.02999591827393","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTERF4"
"GSR","Glutathione-Disulfide Reductase","Protein Coding","48","GC08M030678","8.98828983306885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSR"
"HSPE1","Heat Shock Protein Family E (Hsp10) Member 1","Protein Coding","41","GC02P197501","8.98360729217529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPE1"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","48","GC02M177227","8.97978210449219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"IVD","Isovaleryl-CoA Dehydrogenase","Protein Coding","43","GC15P040405","8.951828956604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IVD"
"PIGY","Phosphatidylinositol Glycan Anchor Biosynthesis Class Y","Protein Coding","33","GC04M088520","8.92331504821777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIGY"
"MCL1","MCL1 Apoptosis Regulator, BCL2 Family Member","Protein Coding","45","GC01M152066","8.92111396789551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCL1"
"APOOL","Apolipoprotein O Like","Protein Coding","33","GC0XP085003","8.91312694549561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOOL"
"MLYCD","Malonyl-CoA Decarboxylase","Protein Coding","41","GC16P083899","8.91062164306641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLYCD"
"APTX","Aprataxin","Protein Coding","43","GC09M032886","8.88861465454102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APTX"
"FASTKD5","FAST Kinase Domains 5","Protein Coding","32","GC20M003335","8.88233947753906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASTKD5"
"AK3","Adenylate Kinase 3","Protein Coding","41","GC09M004709","8.87819290161133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AK3"
"IL6","Interleukin 6","Protein Coding","47","GC07P022725","8.8590030670166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"TXNRD2","Thioredoxin Reductase 2","Protein Coding","45","GC22M019863","8.84560966491699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD2"
